epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.503145,1.32546,2.92675,1.69502,0.00333,1,0.995,0.30661,1.56683,3.32903,1.49427,0,0,0
2,0.902206,1.04094,2.56218,1.41852,0.00333,1,0.995,0.30813,1.51293,3.35028,1.54888,1.9604e-05,1.9604e-05,1.9604e-05
3,1.38191,1.51422,2.45519,2.00534,0.00333,1,0.995,0.30499,1.4518,3.36458,1.46823,3.8416e-05,3.8416e-05,3.8416e-05
4,1.72057,1.02533,2.52961,1.49942,0.00333,1,0.995,0.3279,1.36087,3.34478,1.28691,5.6436e-05,5.6436e-05,5.6436e-05
5,2.16994,0.5794,2.41224,1.25614,0.00333,1,0.995,0.34825,1.17866,3.32275,1.25283,7.3664e-05,7.3664e-05,7.3664e-05
6,2.48988,0.48013,2.34506,1.11851,0.00333,1,0.995,0.30679,1.0292,3.27808,0.97158,9.01e-05,9.01e-05,9.01e-05
7,3.00552,2.32243,3.37497,2.04463,0.00333,1,0.995,0.30715,0.91247,3.2062,0.84156,0.000105744,0.000105744,0.000105744
8,3.30345,1.42597,2.66273,1.99388,0.00333,1,0.995,0.398,0.76458,3.1781,0.79179,0.000120596,0.000120596,0.000120596
9,3.6688,0.69879,2.81797,1.44963,0.00333,1,0.995,0.40971,0.66028,3.13247,0.69601,0.000134656,0.000134656,0.000134656
10,4.12717,0.4115,2.24711,1.25212,0.00333,1,0.995,0.40565,0.57955,3.16974,0.66228,0.000147924,0.000147924,0.000147924
11,4.50792,3.90704,4.09632,4.46182,0.00333,1,0.995,0.39348,0.53094,3.12686,0.61049,0.0001604,0.0001604,0.0001604
12,4.86292,0.37422,2.12635,1.01443,0.00333,1,0.995,0.3601,0.50875,3.09612,0.59264,0.000172084,0.000172084,0.000172084
13,5.24309,0.89844,2.34973,1.53099,0.00333,1,0.995,0.45486,0.51099,3.08307,0.592,0.000182976,0.000182976,0.000182976
14,5.5642,2.46177,2.95027,1.99287,0.00333,1,0.995,0.6965,0.45313,3.10398,0.57264,0.000193076,0.000193076,0.000193076
15,5.84727,0.40613,2.08945,1.24854,0.00333,1,0.995,0.6965,0.45576,3.09526,0.63459,0.000202384,0.000202384,0.000202384
16,6.19772,0.85797,2.28309,1.34999,0.00333,1,0.995,0.6965,0.4879,3.0708,0.65758,0.0002109,0.0002109,0.0002109
17,6.58531,0.33862,1.99693,0.90364,0.00333,1,0.995,0.8955,0.5113,3.07338,0.69734,0.000218624,0.000218624,0.000218624
18,6.9195,0.48661,1.7192,1.04746,0.00333,1,0.995,0.8955,0.5113,3.07338,0.69734,0.000225556,0.000225556,0.000225556
19,7.32514,0.4266,1.6337,1.13659,0.00333,1,0.995,0.8955,0.5547,3.04015,0.69629,0.000231696,0.000231696,0.000231696
20,7.67226,0.42272,1.5897,1.00545,0.00333,1,0.995,0.8955,0.5547,3.04015,0.69629,0.000237044,0.000237044,0.000237044
21,7.97156,0.59191,1.85924,1.22123,0.00333,1,0.995,0.8955,0.62367,2.9513,0.82168,0.0002416,0.0002416,0.0002416
22,8.23299,0.40534,1.70696,1.03341,0.00333,1,0.995,0.8955,0.62367,2.9513,0.82168,0.000245364,0.000245364,0.000245364
