epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0512,1.77128,5.48727,1.06452,0.00333,1,0.11521,0.07671,0.80556,4.07601,0.79476,0.00024,0.00024,0.00024
2,14.2671,1.07469,2.47411,0.89773,0.00107,0.32,0.00108,0.00069,0.77018,4.46345,0.90585,0.00049505,0.00049505,0.00049505
3,17.4262,0.84971,2.02314,0.83138,0.00233,0.7,0.00322,0.00244,0.6717,3.991,0.81981,0.000744952,0.000744952,0.000744952
4,20.5751,0.8005,1.68955,0.8675,0.00333,1,0.26795,0.22569,0.68923,3.60727,0.81485,0.000989706,0.000989706,0.000989706
5,23.7795,0.70255,1.3667,0.86098,1,0.08689,0.96316,0.76458,0.70912,2.98553,0.82832,0.00122931,0.00122931,0.00122931
6,27.1242,0.76114,1.28809,0.84029,1,0.39579,0.995,0.79298,0.7804,2.45534,0.85128,0.00146377,0.00146377,0.00146377
7,30.2632,0.70354,1.1906,0.84373,1,0.8367,0.99304,0.77999,0.7403,1.88362,0.83081,0.00169308,0.00169308,0.00169308
8,33.6669,0.72585,1.1582,0.85132,0.96876,1,0.995,0.81429,0.62508,1.21815,0.82471,0.0018614,0.0018614,0.0018614
9,36.75,0.69233,1.04431,0.83394,0.99653,1,0.995,0.84353,0.59287,0.90989,0.8268,0.0018416,0.0018416,0.0018416
10,39.8541,0.62608,0.90278,0.82416,0.99847,1,0.995,0.82413,0.63712,0.7675,0.8319,0.0018218,0.0018218,0.0018218
11,42.9344,0.60823,0.86871,0.82926,0.99833,1,0.995,0.84009,0.6476,0.5952,0.83798,0.001802,0.001802,0.001802
12,46.0394,0.59705,0.83601,0.82953,0.99862,1,0.995,0.82758,0.66525,0.61248,0.84687,0.0017822,0.0017822,0.0017822
13,49.1007,0.65061,0.81457,0.8553,0.99828,1,0.995,0.83466,0.57226,0.56757,0.83418,0.0017624,0.0017624,0.0017624
14,52.1517,0.60052,0.72146,0.82355,0.99814,1,0.995,0.85786,0.56077,0.5094,0.82799,0.0017426,0.0017426,0.0017426
15,55.2242,0.64881,0.75989,0.83827,0.99694,1,0.995,0.83151,0.61985,0.53567,0.85074,0.0017228,0.0017228,0.0017228
16,58.351,0.57052,0.69095,0.82498,0.9967,1,0.995,0.85785,0.53446,0.52635,0.829,0.001703,0.001703,0.001703
17,61.424,0.52856,0.62923,0.80986,0.99873,1,0.995,0.86945,0.50602,0.45363,0.82225,0.0016832,0.0016832,0.0016832
18,64.5843,0.53035,0.58061,0.81281,0.99888,1,0.995,0.85037,0.53344,0.40331,0.82298,0.0016634,0.0016634,0.0016634
19,67.6421,0.50684,0.5242,0.81822,0.99838,1,0.995,0.87659,0.42871,0.36529,0.80727,0.0016436,0.0016436,0.0016436
20,70.9962,0.5005,0.55929,0.8164,0.99823,1,0.995,0.90785,0.43319,0.35585,0.80821,0.0016238,0.0016238,0.0016238
21,74.0745,0.51844,0.52219,0.8184,0.99789,1,0.995,0.87841,0.47564,0.34798,0.81661,0.001604,0.001604,0.001604
22,77.1226,0.52626,0.52938,0.82173,0.99838,1,0.995,0.85274,0.545,0.39202,0.82252,0.0015842,0.0015842,0.0015842
23,80.2208,0.44561,0.4687,0.80569,0.99804,1,0.995,0.88775,0.45472,0.32401,0.81205,0.0015644,0.0015644,0.0015644
24,83.3174,0.4534,0.4505,0.81063,0.9988,1,0.995,0.86704,0.43881,0.33136,0.80908,0.0015446,0.0015446,0.0015446
25,86.3815,0.48136,0.46983,0.81772,0.99871,1,0.995,0.88258,0.46365,0.3426,0.81569,0.0015248,0.0015248,0.0015248
26,89.4365,0.4646,0.44194,0.81099,0.99869,1,0.995,0.87651,0.4383,0.35089,0.80726,0.001505,0.001505,0.001505
27,92.4621,0.46772,0.44078,0.80922,0.99862,1,0.995,0.8618,0.42671,0.34709,0.80564,0.0014852,0.0014852,0.0014852
28,95.6023,0.47654,0.45101,0.81395,0.99878,1,0.995,0.89414,0.4282,0.33459,0.80816,0.0014654,0.0014654,0.0014654
29,98.6374,0.44477,0.40437,0.81508,0.99881,1,0.995,0.89138,0.40041,0.30021,0.80081,0.0014456,0.0014456,0.0014456
30,101.698,0.45862,0.39993,0.81058,0.99862,1,0.995,0.87606,0.43736,0.29493,0.8048,0.0014258,0.0014258,0.0014258
31,105.035,0.41878,0.36834,0.81363,0.99868,1,0.995,0.90151,0.38882,0.30032,0.79954,0.001406,0.001406,0.001406
32,108.147,0.43245,0.37534,0.80466,0.99848,1,0.995,0.91337,0.38986,0.30067,0.79995,0.0013862,0.0013862,0.0013862
33,111.222,0.48397,0.4071,0.80871,0.99798,1,0.995,0.92142,0.37769,0.28999,0.80065,0.0013664,0.0013664,0.0013664
34,114.314,0.45922,0.37962,0.80118,0.99799,1,0.995,0.87422,0.51613,0.32831,0.81487,0.0013466,0.0013466,0.0013466
35,117.365,0.46637,0.38648,0.80361,0.99883,1,0.995,0.91334,0.39907,0.32242,0.80541,0.0013268,0.0013268,0.0013268
36,120.407,0.47393,0.38971,0.79746,0.99853,1,0.995,0.90653,0.41009,0.29887,0.80206,0.001307,0.001307,0.001307
37,123.418,0.47075,0.37835,0.81107,0.99872,1,0.995,0.88507,0.45001,0.29772,0.80531,0.0012872,0.0012872,0.0012872
38,126.449,0.43388,0.34706,0.79055,0.99872,1,0.995,0.9118,0.42387,0.29012,0.80571,0.0012674,0.0012674,0.0012674
39,129.457,0.42973,0.35614,0.81178,0.99875,1,0.995,0.9064,0.36756,0.27635,0.79972,0.0012476,0.0012476,0.0012476
40,132.509,0.42069,0.35415,0.79799,0.99862,1,0.995,0.9167,0.41162,0.30829,0.80302,0.0012278,0.0012278,0.0012278
41,135.83,0.41727,0.34968,0.78466,0.9986,1,0.995,0.909,0.40724,0.28938,0.80003,0.001208,0.001208,0.001208
42,138.89,0.4138,0.32848,0.80778,0.9986,1,0.995,0.91237,0.41332,0.28022,0.80266,0.0011882,0.0011882,0.0011882
43,141.952,0.4367,0.34829,0.80449,0.9987,1,0.995,0.92338,0.41155,0.26911,0.80137,0.0011684,0.0011684,0.0011684
44,145.065,0.37783,0.3102,0.77132,0.99889,1,0.995,0.91465,0.39683,0.25479,0.79873,0.0011486,0.0011486,0.0011486
45,148.12,0.38795,0.32975,0.7967,0.99886,1,0.995,0.91413,0.42502,0.26934,0.80147,0.0011288,0.0011288,0.0011288
46,151.164,0.40883,0.33369,0.78217,0.99828,1,0.995,0.92862,0.34801,0.25579,0.79406,0.001109,0.001109,0.001109
47,154.206,0.42718,0.33356,0.80709,0.99884,1,0.995,0.87154,0.44464,0.28083,0.80023,0.0010892,0.0010892,0.0010892
